id,type,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,word_family,mnemonic_hint,approved_by_native,connector_function,verb_position_effect,highlighted_example,noun_article_rule,review_status
vocab-b2-das-schnaeppchen-e1af0c8d20,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-selbstvertrauen-a789d4e773,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-spuelbecken-f570edad76,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-start-up-unternehmen-d343a3af5e,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-vermoegen-5825647b2e,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-vorgehen-b14c056c66,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-vorhaben-1b0fee7b4c,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-waschbecken-70c3e4facf,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-das-zeichen-ad41bbce77,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-dazugehoerig-c1beee23de,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-decken-5719247fb1,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-den-ersten-schritt-machen-588b9f83c5,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-den-interessen-entsprechen-58fdbe1ba2,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-den-laptop-herunterfahren-093f1a7ec3,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-den-laptop-herunterfahren-45abc1566a,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-den-rettungsdienst-anrufen-288f62ff68,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-den-unfallbericht-schreiben-a1997f30ef,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-den-vertrag-verlaengern-9e33ddeb3b,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-der-ansicht-sein-4541d5c5b9,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-der-fensterladen-d1f7d3ca54,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-der-knochen-86b8aa3ca5,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-der-putzlappen-19eaca8183,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-der-rettungswagen-78d362f6a1,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-der-touchscreen-6160c22504,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-der-umgang-mit-kunden-3f9acd28a9,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-derzeitig-af5b0f92e4,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-derzeitig-c51311e2bc,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-die-alarmanlage-einschalten-887f3e2e60,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-die-ausbildung-verkuerzen-1a7159a3f6,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
